time_s,x_m,y_m,yaw_rad,yaw_deg
0.000000000,0.000000000,0.000000000,0.000000000,0.000000
0.033264160,0.000000000,0.000000000,0.000005396,0.000309
0.100019455,0.000000000,0.000000000,-0.000012771,-0.000732
0.133349180,0.000000000,0.000000000,-0.000020054,-0.001149
0.200070143,0.000000000,0.000000000,0.000014227,0.000815
0.233362913,0.000000000,0.000000000,0.000018129,0.001039
0.300017595,0.000000000,0.000000000,0.000036785,0.002108
0.333306551,0.000000000,0.000000000,0.000040466,0.002319
0.400033951,0.000000000,0.000000000,-0.000004393,-0.000252
0.433344126,0.000000000,0.000000000,-0.000001299,-0.000074
0.500170708,0.000000000,0.000000000,-0.000020270,-0.001161
0.533105850,0.000000000,0.000000000,-0.000041846,-0.002398
0.600369692,0.000000000,0.000000000,-0.000025205,-0.001444
0.633299112,0.000000000,0.000000000,-0.000033503,-0.001920
0.700065851,0.000000000,0.000000000,-0.000022445,-0.001286
0.733409405,0.000000000,0.000000000,0.000010630,0.000609
0.799991369,0.000000000,0.000000000,-0.000012778,-0.000732
0.833265305,0.000000000,0.000000000,-0.000007926,-0.000454
0.900023222,0.000000000,0.000000000,0.000016378,0.000938
0.933340549,0.000000000,0.000000000,-0.000002931,-0.000168
1.000076771,0.000000000,0.000000000,0.000017275,0.000990
1.033382893,0.000000000,0.000000000,0.000027144,0.001555
1.100080252,0.000865110,0.000000003,0.001290778,0.073956
1.133342505,0.002639200,0.000000690,0.003242017,0.185754
1.200022697,0.004945396,0.000005840,0.003257672,0.186651
1.233323812,0.007797173,0.000012314,0.004574284,0.262087
1.300062418,0.011768127,0.000027311,0.006041646,0.346161
1.333660841,0.015964651,0.000047205,0.006817583,0.390619
1.400120258,0.022410627,0.000084818,0.007550413,0.432607
1.433404922,0.027679340,0.000121018,0.007230429,0.414273
1.500068426,0.034929320,0.000172118,0.008232211,0.471671
1.533320189,0.040571478,0.000215967,0.009223775,0.528483
1.600073576,0.048166880,0.000284745,0.009477223,0.543005
1.633354664,0.053830519,0.000338529,0.009014639,0.516501
1.700017214,0.061842742,0.000410747,0.009420011,0.539727
1.733368397,0.067464359,0.000463051,0.009318224,0.533895
1.800102711,0.075323797,0.000536164,0.008058510,0.461719
1.833317518,0.080538120,0.000578009,0.006367732,0.364844
1.900106668,0.088802397,0.000630732,0.003759930,0.215428
1.933360577,0.094572282,0.000652585,0.002244095,0.128577
2.000067711,0.102919019,0.000670282,0.000170493,0.009769
2.033312082,0.108534412,0.000669677,-0.001595735,-0.091429
2.099976540,0.116772746,0.000654615,-0.004689239,-0.268674
2.133238316,0.103864999,-0.000196293,-0.006493164,-0.372031
2.200284481,-0.089238723,-0.009193329,-0.008095527,-0.463840
2.233275652,-0.083314269,-0.009240966,-0.008317802,-0.476575
2.300117970,-0.075032977,-0.009313728,-0.008783412,-0.503252
2.333247423,-0.069530045,-0.009363320,-0.010339203,-0.592393
2.400004864,-0.061310644,-0.009448177,-0.011427200,-0.654730
2.433301687,-0.055791837,-0.009512670,-0.010510264,-0.602194
2.499984980,-0.047741317,-0.009599022,-0.009398442,-0.538491
2.533272743,-0.042221938,-0.009652370,-0.009666116,-0.553828
2.599967718,-0.034342402,-0.009727899,-0.010738354,-0.615262
2.633316517,-0.028688302,-0.009788100,-0.009956636,-0.570473
2.700005054,-0.020353689,-0.009872603,-0.008797091,-0.504036
2.733287096,-0.014856510,-0.009921440,-0.009515436,-0.545194
2.799941063,-0.006674838,-0.009998956,-0.010811699,-0.619465
2.833369255,-0.001168220,-0.010058612,-0.011019312,-0.631360
2.899966240,0.007173707,-0.010150943,-0.011068268,-0.634165
2.933350801,0.012837126,-0.010214919,-0.011806855,-0.676483
3.000056267,0.021026822,-0.010311024,-0.013570152,-0.777512
3.033441067,0.026801373,-0.010389158,-0.013615087,-0.780087
3.099948645,0.035051514,-0.010502691,-0.013637154,-0.781351
3.133263588,0.040978649,-0.010583681,-0.014196907,-0.813423
3.199995518,0.049266812,-0.010702628,-0.015778790,-0.904058
3.233296633,0.055178252,-0.010796095,-0.017541784,-1.005070
3.299958467,0.063403915,-0.010940824,-0.019514431,-1.118095
3.333447218,0.069215347,-0.011054504,-0.019920535,-1.141363
3.399999380,0.077294929,-0.011217216,-0.020487116,-1.173825
3.433293581,0.060399876,-0.011323020,-0.022548684,-1.291944
3.500066519,-0.169297544,-0.011591737,-0.040357365,-2.312307
3.533369541,-0.163644971,-0.011819020,-0.041348588,-2.369100
3.600081682,-0.155478694,-0.012157746,-0.041803272,-2.395151
3.633358240,-0.149665798,-0.012400396,-0.042179210,-2.416691
3.700139999,-0.141190764,-0.012757804,-0.042559937,-2.438505
3.733357191,-0.135818050,-0.012988229,-0.042799954,-2.452257
3.800011158,-0.127635811,-0.013338939,-0.043384114,-2.485727
3.833322048,-0.121707560,-0.013596141,-0.043760923,-2.507316
3.899926424,-0.113481011,-0.013957161,-0.044887695,-2.571875
3.933243752,-0.107831242,-0.014210188,-0.045157937,-2.587359
