time_s,x_m,y_m,yaw_rad,yaw_deg
0.000000000,0.000000000,0.000000000,0.000000000,0.000000
0.066841602,0.000000000,0.000000000,-0.000060611,-0.003473
0.099930763,0.000000000,0.000000000,-0.000047024,-0.002694
0.166930199,0.000000000,0.000000000,-0.000079107,-0.004532
0.199973583,0.000000000,0.000000000,-0.000084977,-0.004869
0.266879320,0.000000000,0.000000000,-0.000039803,-0.002281
0.300066471,0.000000000,0.000000000,-0.000031227,-0.001789
0.366669893,0.000000000,0.000000000,-0.000028265,-0.001619
0.400030851,0.000000000,0.000000000,-0.000034089,-0.001953
0.466805220,0.000000000,0.000000000,-0.000061896,-0.003546
0.500061512,0.000000000,0.000000000,-0.000064713,-0.003708
0.566918135,0.000000000,0.000000000,-0.000091694,-0.005254
0.599932671,0.000000000,0.000000000,-0.000107580,-0.006164
0.666751385,0.000000000,0.000000000,-0.000066825,-0.003829
0.700087547,0.000000000,0.000000000,-0.000061063,-0.003499
0.766725063,0.000000000,0.000000000,-0.000046663,-0.002674
0.799898624,0.000000000,0.000000000,-0.000028738,-0.001647
0.866851330,0.000000000,0.000000000,-0.000073073,-0.004187
0.899944782,0.000000000,0.000000000,-0.000069344,-0.003973
0.966683149,0.000000000,0.000000000,-0.000081423,-0.004665
1.000012875,0.000000000,0.000000000,-0.000087184,-0.004995
1.066750765,0.000432989,-0.000000032,0.000342881,0.019646
1.099937439,0.001933891,0.000000028,0.001030078,0.059019
1.166795969,0.003887808,0.000001259,0.001220219,0.069913
1.200664520,0.006046272,0.000003152,0.001859430,0.106537
1.266771793,0.009906149,0.000008543,0.003789585,0.217127
1.300028563,0.013803199,0.000018409,0.004217297,0.241633
1.366817236,0.019887565,0.000040232,0.003447719,0.197540
1.400058270,0.025114503,0.000055990,0.003235265,0.185367
1.466746807,0.032192987,0.000078279,0.001801711,0.103230
1.500032663,0.037380842,0.000088399,0.001022670,0.058595
1.566699743,0.045501507,0.000097495,0.000257606,0.014760
1.599958658,0.051076433,0.000098899,-0.000621621,-0.035616
1.666743994,0.059194400,0.000093607,-0.002647112,-0.151668
1.700184345,0.064701580,0.000078469,-0.004420378,-0.253269
1.766667366,0.073103870,0.000042573,-0.006925746,-0.396816
1.799926043,0.078518327,0.000002705,-0.007296729,-0.418072
1.866653681,0.087083983,-0.000060196,-0.008713893,-0.499269
1.899913311,0.092487829,-0.000109395,-0.009749527,-0.558607
1.966584206,0.100906294,-0.000193057,-0.011825560,-0.677555
1.999931812,0.106059631,-0.000255954,-0.012936617,-0.741214
2.066634893,0.114467311,-0.000365461,-0.013082100,-0.749549
2.099962711,0.119767384,-0.000436807,-0.013023259,-0.746178
2.166738510,0.128173593,-0.000547742,-0.013559953,-0.776928
2.199932098,0.133288360,-0.000618142,-0.014399881,-0.825052
2.266601801,0.141699428,-0.000739208,-0.014769157,-0.846210
2.299916506,0.147274005,-0.000821265,-0.014204166,-0.813839
2.366622686,0.155558075,-0.000940643,-0.012998404,-0.744754
2.399907112,0.161665765,-0.001020706,-0.013529306,-0.775172
2.466672182,0.169757147,-0.001130689,-0.015096575,-0.864970
2.499948263,0.175461230,-0.001216627,-0.015635801,-0.895865
2.566606522,0.183908390,-0.001350160,-0.016383793,-0.938722
2.600125551,0.189343223,-0.001440530,-0.017710703,-1.014749
2.666685343,0.197619977,-0.001587951,-0.019891027,-1.139672
2.700045824,0.203079068,-0.001696602,-0.020456449,-1.172068
2.766873360,0.211043396,-0.001861409,-0.019760690,-1.132204
2.800102949,0.216363057,-0.001968271,-0.019440354,-1.113850
2.866631985,0.224577635,-0.002127773,-0.019792072,-1.134002
2.899961710,0.229612324,-0.002228042,-0.019318033,-1.106842
2.966665506,0.238079677,-0.002390142,-0.017516046,-1.003595
2.999882460,0.243386102,-0.002483890,-0.015576773,-0.892483
3.066688299,0.251628068,-0.002613474,-0.014252593,-0.816613
3.099945784,0.257599934,-0.002698915,-0.014490868,-0.830266
3.166643858,0.265901095,-0.002818059,-0.014049796,-0.804994
3.199932575,0.271639376,-0.002899736,-0.013463069,-0.771377
3.266769648,0.280072885,-0.003013893,-0.014104487,-0.808128
3.299951077,0.285397128,-0.003089007,-0.015261460,-0.874417
3.366681337,0.293706060,-0.003215958,-0.017003839,-0.974248
3.400064707,0.299248472,-0.003310685,-0.018189152,-1.042162
3.466816902,0.307506273,-0.003461698,-0.019936350,-1.142269
3.499951363,0.313244429,-0.003575979,-0.021331580,-1.222210
3.566653013,0.321653299,-0.003755712,-0.023476205,-1.345087
3.599943876,0.327392905,-0.003890728,-0.024863336,-1.424564
3.666687965,0.335684097,-0.004097346,-0.026749591,-1.532639
3.700075626,0.341152746,-0.004244289,-0.026733637,-1.531725
3.766687155,0.349840204,-0.004477193,-0.026600311,-1.524086
3.799954653,0.355153088,-0.004618660,-0.027148553,-1.555498
3.866774797,0.363865429,-0.004854951,-0.026681442,-1.528734
3.899995565,0.369302220,-0.005000453,-0.026486233,-1.517549
3.966631651,0.377428795,-0.005216611,-0.025995154,-1.489413
3.999848604,0.383035741,-0.005362712,-0.025957906,-1.487278
4.066655397,0.391287512,-0.005576075,-0.025714282,-1.473320
4.100013256,0.397021009,-0.005723823,-0.024708390,-1.415686
4.167268038,0.405294063,-0.005929524,-0.024176640,-1.385219
4.200016022,0.410759665,-0.006061600,-0.024891003,-1.426149
4.266649485,0.418577734,-0.006255670,-0.025409543,-1.455860
4.300099850,0.424179377,-0.006398826,-0.025280258,-1.448452
4.366608143,0.432159599,-0.006600685,-0.026057860,-1.493005
4.399954319,0.437441639,-0.006738501,-0.026307719,-1.507321
4.466617346,0.445894646,-0.006960314,-0.026594476,-1.523751
4.500027418,0.451498763,-0.007108553,-0.026283217,-1.505917
4.566797733,0.460030336,-0.007332911,-0.025060544,-1.435863
4.599976778,0.465352865,-0.007466472,-0.024525316,-1.405197
4.666644812,0.473457480,-0.007665491,-0.023981944,-1.374064
4.699976444,0.479330995,-0.007806126,-0.023665239,-1.355918
4.766739845,0.487747261,-0.008005015,-0.022615483,-1.295772
4.799951315,0.492951566,-0.008123003,-0.021957287,-1.258060
4.866727829,0.501586205,-0.008313381,-0.021945036,-1.257358
4.899912834,0.507457860,-0.008442000,-0.022144083,-1.268763
4.966709137,0.515924183,-0.008629711,-0.022110617,-1.266845
4.999957323,0.521649123,-0.008755988,-0.022150443,-1.269127
5.066710234,0.530403754,-0.008950889,-0.022282825,-1.276712
5.099956274,0.535985408,-0.009075844,-0.023479699,-1.345288
5.166633129,0.544298228,-0.009270595,-0.025470841,-1.459372
5.199970245,0.549902842,-0.009413577,-0.026053803,-1.492773
5.266617298,0.558342502,-0.009633410,-0.026781933,-1.534492
5.299979925,0.564066804,-0.009786763,-0.027076201,-1.551352
5.366656780,0.572653457,-0.010019472,-0.027801554,-1.592912
5.399991035,0.578244368,-0.010173537,-0.027687199,-1.586360
5.466672182,0.586833874,-0.010411702,-0.025789409,-1.477624
5.499999046,0.592019550,-0.010545575,-0.024901842,-1.426770
5.566686630,0.600403899,-0.010753846,-0.023493928,-1.346103
5.599919319,0.605739729,-0.010879433,-0.022298898,-1.277633
5.666725874,0.613845445,-0.011058561,-0.020556094,-1.177777
5.699944496,0.619438889,-0.011174561,-0.018497926,-1.059853
5.766931772,0.627664307,-0.011328873,-0.017251847,-0.988458
5.799927235,0.633132220,-0.011421889,-0.018065213,-1.035060
5.866705418,0.641518066,-0.011573085,-0.017712629,-1.014859
5.899869442,0.646978780,-0.011670016,-0.017167961,-0.983652
5.966626406,0.655692971,-0.011821267,-0.017217175,-0.986471
5.999917030,0.661511673,-0.011922369,-0.018542549,-1.062410
6.066560030,0.670107691,-0.012081410,-0.021090958,-1.208423
6.099945545,0.675944174,-0.012204559,-0.022302916,-1.277863
6.166627645,0.684291261,-0.012389667,-0.023085701,-1.322713
