run,bag,completed,motion_duration_s,controller_closure_m,controller_yaw_error_deg,ground_truth_samples,ground_truth_path_length_m,ground_truth_closure_error_m,ground_truth_final_x_m,ground_truth_final_y_m,ground_truth_yaw_error_deg,ground_truth_abs_yaw_error_deg,ground_truth_cumulative_rotation_deg,ground_truth_cross_track_rmse_m,ground_truth_maximum_cross_track_m,wheel_samples,wheel_path_length_m,wheel_closure_error_m,wheel_final_x_m,wheel_final_y_m,wheel_yaw_error_deg,wheel_abs_yaw_error_deg,wheel_cumulative_rotation_deg,wheel_cross_track_rmse_m,wheel_maximum_cross_track_m,ekf_samples,ekf_path_length_m,ekf_closure_error_m,ekf_final_x_m,ekf_final_y_m,ekf_yaw_error_deg,ekf_abs_yaw_error_deg,ekf_cumulative_rotation_deg,ekf_cross_track_rmse_m,ekf_maximum_cross_track_m,wheel_position_rmse_m,wheel_maximum_position_error_m,wheel_yaw_rmse_deg,wheel_maximum_yaw_error_deg,ekf_position_rmse_m,ekf_maximum_position_error_m,ekf_yaw_rmse_deg,ekf_maximum_yaw_error_deg,ekf_closure_difference_m,ekf_path_length_ratio,ekf_rotation_ratio
R01,V16_square_ekf_closed_loop_R01_20260721_144417,True,102.29931592941284,0.012,-0.21,4131,3.9993123480900965,0.02819480153488138,-0.027048828558677965,-0.007956614053389596,360.9492048704764,360.9492048704764,360.9492048704764,0.027368338348863434,0.04716798827138047,4131,3.9692764945834997,0.011618249383637709,-0.010433776776867625,0.005110774981438318,359.79358950314025,359.79358950314025,359.79358950314025,0.02150394665952867,0.03933733736045952,2459,3.9790284615682645,0.011618378542304316,-0.010434021783985708,0.005110568399267254,359.79020245115174,359.79020245115174,359.79020245115174,0.021530116619356564,0.039322647270970346,0.012657506676682485,0.021138390107728132,0.8710299368606639,2.3818516211752,0.012865807529901276,0.021145858739561242,0.9215692063823347,2.7479854592317703,-0.016576422992577063,0.9949281564538167,0.9967890151753054
R02,V16_square_ekf_closed_loop_R02_20260721_150133,True,104.70436453819275,0.011,0.08,4134,3.9909424926589057,0.04219790422425301,-0.04196783743421677,-0.004400425208361583,360.35870571892394,360.35870571892394,360.35870571892394,0.03192516951413403,0.05139917107806835,4134,3.9611164721390257,0.011157760528728838,-0.008094154422480213,0.007679862251466704,360.0770413860664,360.0770413860664,360.0770413860664,0.021125030149076,0.045252859842077164,2477,3.9702840282417653,0.01115774824041515,-0.008094299811251655,0.007679691163195222,360.0837028965318,360.0837028965318,360.0837028965318,0.021175779032571625,0.045239237086184714,0.01930062990394364,0.035963849872564735,0.819672351883234,1.5934876420811168,0.0195204657882882,0.035988364314386886,0.8503736551967724,1.7966379579641139,-0.031040155983837865,0.9948236627174808,0.9992368636638221
R03,V16_square_ekf_closed_loop_R03_20260721_150519,True,93.78643870353699,0.008,-1.62,4119,4.01513430374464,0.029422612816110413,-0.025578884571546275,-0.01453997279922685,358.30618771311543,358.30618771311543,358.30618771311543,0.026956198343515612,0.04532123469412663,4119,3.994105267139033,0.007898228548153688,-0.007851973190225923,0.0008535404025839838,358.3194674007456,358.3194674007456,358.3194674007456,0.021655185529451244,0.04472910507500483,2449,4.0048492333558885,0.00790076910835305,-0.00785454009757411,0.0008534356209500207,358.342133030949,358.342133030949,358.342133030949,0.0215909003281514,0.04471915866254039,0.012056212017314457,0.023502782289349898,0.6917038247181165,1.5022475935356627,0.012298004604695134,0.023650725472933332,0.7232236862764496,1.8215165043812704,-0.021521843707757362,0.9974384243189177,1.0001003201146568
R04,V16_square_ekf_closed_loop_R04_20260721_150815,True,94.26068329811096,0.009,-0.5,4136,4.007087076228067,0.027269393734643713,-0.02693312059116691,-0.004269291495867532,361.00619854234117,361.00619854234117,361.00619854234117,0.027348566807453168,0.04997664923152245,4136,3.976472122083497,0.009044230756297438,-0.008370299769305083,0.0034258125671332075,359.49118339096003,359.49118339096003,359.49118339096003,0.02094877132688168,0.039476375934957786,2466,3.9867142382712313,0.009044399405345668,-0.008370548680243532,0.0034256496311050786,359.4958216377403,359.4958216377403,359.4958216377403,0.02087628804332473,0.03945954344425262,0.013540963024692373,0.02009506255398306,0.8602883461602534,2.081873857770178,0.013672756564441203,0.020379724855600526,0.9167963240404438,2.4677465440513506,-0.018224994329298045,0.9949157985416147,0.9958162022959732
R05,V16_square_ekf_closed_loop_R05_20260721_151128,True,92.4614806175232,0.009,-0.5,4129,3.993744606927476,0.04057443448014094,-0.04008733530845395,-0.006268196012476876,359.65210951993475,359.65210951993475,359.65210951993475,0.03197577720770791,0.05234701938748476,4129,3.976925647139039,0.009479738530988243,-0.008199909840583261,0.004756776347717949,359.49462961446034,359.49462961446034,359.49462961446034,0.021991793169608906,0.045543716772958764,2435,3.9885507884730464,0.009479728003803332,-0.008199992370390406,0.004756613096693092,359.4991577740273,359.4991577740273,359.4991577740273,0.021951992443172863,0.04554011987431317,0.018979614038972373,0.034156311037159354,0.808224028787093,1.6447168804858616,0.01913638831986723,0.03424999161663173,0.8427101454411896,1.9285834977870633,-0.031094706476337608,0.9986995116198917,0.9995747230674898
R06,V16_square_ekf_closed_loop_R06_20260721_151422,True,93.13226270675659,0.012,-0.06,4126,3.9990307911160192,0.028677908318884688,-0.028288513391982552,-0.004709823310696431,360.37704414896194,360.37704414896194,360.37704414896194,0.024930713252514034,0.04559542773632741,4126,3.9647309021390327,0.012411770725300107,-0.012405996296788355,0.0003785609878082948,359.9133457697876,359.9133457697876,359.9133457697876,0.02372965530358918,0.04586330777842762,2448,3.9745415213037396,0.012411771591355536,-0.01240600461218623,0.000378316796341764,359.93621515828806,359.93621515828806,359.93621515828806,0.023720561261310096,0.04585100391034147,0.0068571633159433786,0.016677954820732595,0.5877924792421054,1.4330637435906697,0.006837442528486308,0.01676569239493446,0.6005151293375273,1.6237084548461953,-0.016266136727529152,0.993876198736283,0.998776756184027
R07,V16_square_ekf_closed_loop_R07_20260721_151701,True,92.96897315979004,0.008,-0.33,4124,4.004611578988589,0.05163049602904409,-0.051629577654235544,-0.00030794715520555765,359.7119013241177,359.7119013241177,359.7119013241177,0.03375533731205236,0.052262431814844586,4124,3.9837611170834983,0.007949236877994417,-0.006501299895830776,0.004574217595057889,359.6738332364918,359.6738332364918,359.6738332364918,0.021659555834572203,0.04542290517217229,2456,3.993490943194598,0.007948845700466717,-0.006500921095993487,0.004574076177054231,359.6704375895043,359.6704375895043,359.6704375895043,0.021619500829681594,0.04536350107752074,0.02230697473728924,0.04547888492905258,0.9454751738371513,1.5549990565928573,0.022259800543508814,0.04569261024585027,0.9545872502952942,1.8300916907358222,-0.043681650328577376,0.9972230425911119,0.9998847307123817
R08,V16_square_ekf_closed_loop_R08_20260721_151953,True,90.25006151199341,0.008,-0.14,4114,4.002126910144762,0.02803994710036015,-0.02437031062319053,-0.013868186381794934,361.5160666969074,361.5160666969074,361.5160666969074,0.02992419164088046,0.05691679010708506,4114,3.9829619545835135,0.0077911738024537495,-0.004713253507842473,0.006203839987528066,359.8435597438981,359.8435597438981,359.8435597438981,0.020913374836834312,0.045340784770527165,2435,3.9942285220135507,0.007791152990363921,-0.004713366747617061,0.006203727816540184,359.8579792265984,359.8579792265984,359.8579792265984,0.020865681406884856,0.04533030431024765,0.020789489100080723,0.03148064525046317,1.1940602746749356,2.1127748630595917,0.021023053578305778,0.03184334732554331,1.2497034325269276,2.5917105373548637,-0.020248794109996228,0.9980264523568231,0.9954135165126724
R09,V16_square_ekf_closed_loop_R09_20260721_152321,True,94.26929879188538,0.01,-0.91,4128,4.004020946307745,0.02329782309506171,-0.016316550644330012,-0.016630055202548327,361.2763762671487,361.2763762671487,361.2763762671487,0.027462786998494138,0.05151139684891415,4129,3.9744765895835097,0.009747694345484167,-0.008363456369456047,0.005007009347823215,359.0922830207631,359.0922830207631,359.0922830207631,0.02062898240795511,0.03951899833678674,2453,3.9859677846714696,0.009747750273387345,-0.008363623289424782,0.005006839408740255,359.0944534081358,359.0944534081358,359.0944534081358,0.020552950400668957,0.039488709234574704,0.017184658177988043,0.028571583571252807,1.2182972858680905,2.6269991444573644,0.01735081578352078,0.029435676168035125,1.25858512116211,2.9768990271006115,-0.013550072821674366,0.9954912419594302,0.9939605160969632
R10,V16_square_ekf_closed_loop_R10_20260721_152609,True,91.59434795379639,0.008,-1.01,4125,4.007551369850713,0.03951045191835582,-0.027198497520763077,-0.028658638198730792,359.1713261396333,359.1713261396333,359.1713261396333,0.030938443942084087,0.061060412690050914,4125,3.984377639639028,0.008273525944184276,-0.007051225620968347,0.0043279843797418985,358.89412516947505,358.89412516947505,358.89412516947505,0.020969007815698597,0.042272768225739776,2452,3.999278806758952,0.008277023649780727,-0.007055376662989693,0.004327907189666835,358.928968687593,358.928968687593,358.928968687593,0.021099423767939492,0.042215308693657305,0.024367512575751458,0.0386742960057417,1.297325023437708,2.983617964732354,0.02455162569840313,0.03877250736827322,1.3477101695609883,3.3271104649905747,-0.03123342826857509,0.9979357561941697,0.9993252316251268
