run,bag,completed,motion_duration_s,ccw_yaw_deg,cw_yaw_deg,ccw_rotational_error_deg,cw_rotational_error_deg,cumulative_rotational_discrepancy_deg,net_heading_drift_deg,abs_heading_drift_deg,mean_linear_command_m_s,mean_ccw_command_rad_s,mean_cw_command_rad_s,ekf_samples,ekf_path_length_m,ekf_closure_error_m,ekf_final_x_m,ekf_final_y_m,ekf_final_yaw_deg,ekf_cross_track_rmse_m,ekf_maximum_cross_track_m,ekf_heading_error_mean_deg,ekf_heading_error_std_deg,ekf_heading_error_rmse_deg,ekf_ccw_x_span_m,ekf_ccw_y_span_m,ekf_ccw_diameter_m,ekf_cw_x_span_m,ekf_cw_y_span_m,ekf_cw_diameter_m,wheel_samples,wheel_path_length_m,wheel_closure_error_m,wheel_final_x_m,wheel_final_y_m,wheel_final_yaw_deg,wheel_cross_track_rmse_m,wheel_maximum_cross_track_m,wheel_heading_error_mean_deg,wheel_heading_error_std_deg,wheel_heading_error_rmse_deg,wheel_ccw_x_span_m,wheel_ccw_y_span_m,wheel_ccw_diameter_m,wheel_cw_x_span_m,wheel_cw_y_span_m,wheel_cw_diameter_m,physical_ccw_diameter_m,physical_cw_diameter_m,physical_final_x_m,physical_final_y_m,physical_closure_error_m,physical_minus_ekf_closure_m
R01,P02_figure8_R01_20260720_094930,True,92.4,358.23,-356.65000000000003,1.7699999999999818,3.349999999999966,5.119999999999948,1.58,1.58,0.0798052522574893,0.24337859435559547,-0.32616460388827306,1848,6.998080883567987,0.06580267538066545,-0.01912302564505598,0.06296270306643265,1.5806107296380454,0.0901830656519913,0.22068723229747123,-0.4047604582840497,5.693593968618457,5.706426345337979,1.0098303794296717,1.0123220148883338,1.0110761971590028,1.2787569874360867,1.1704994908110498,1.224628239123568,1848,7.000318331659727,1.6665271815852778,1.0278682917631916,1.3117925223717308,251.20772946859836,1.3120719220562884,2.2961945357137816,-19.837380859551757,51.37734730111673,55.061103538449295,0.6758221568337572,0.7448780521058773,0.7103501044698173,1.6713812000126607,1.5213839558228779,1.5963825779177694,1.065,1.09,0.055,0.055,0.07778174593052023,0.011979070549854781
R02,P02_figure8_R02_20260720_095858,True,95.6,357.95,-356.25,2.0500000000000114,3.75,5.800000000000011,1.7,1.7,0.07981170066485353,0.24026279814380141,-0.334652911400073,1912,7.217091552611205,0.0858066291417831,-0.010731924747503351,0.08513285732247818,1.6971522511736261,0.12133519798454304,0.2863296615274289,-0.6024952938214678,6.951294415868917,6.975544595961139,1.013403578725292,1.0053135676643865,1.0093585731948393,1.3479191504495343,1.2453311761006405,1.2966251632750874,1912,7.220351231619892,1.6269916027297755,1.310134028012118,0.964702287754075,238.06763285024135,1.3132358362358063,2.242284489034077,-18.390816043840502,49.44125699466611,52.73880484301413,0.7338156606291277,0.7242822141243529,0.7290489373767404,1.791782839233771,1.5150011294839936,1.6533919843588822,1.06,1.08,0.13,0.11,0.17029386365926402,0.08448723451748093
R03,P02_figure8_R03_20260720_100818,True,95.95,358.27,-356.96999999999997,1.7300000000000182,3.0300000000000296,4.760000000000048,1.3,1.3,0.07981237098989043,0.2205822823353583,-0.334113231150709,1920,6.987515136963451,0.06939815943138222,-0.0049224920915533375,0.06922336024834493,1.3000413492947722,0.09488100139118312,0.22722527784108948,-0.4925229748226373,5.345399382155625,5.36665552380909,0.9850094541413359,0.9941708997066979,0.989590176924017,1.2856796717697236,1.195405411678513,1.2405425417241185,1919,6.98996777035663,1.9184845734713651,0.08346524256863219,1.916668101662509,304.7342995169053,1.256647878093876,2.3273069383705094,-18.683496572967503,60.607680255404475,63.40701681062915,0.6360469771806684,0.6489662857318654,0.6425066314562669,1.4408821436215047,1.771636108662985,1.6062591261422448,1.06,1.14,0.095,0.025,0.0982344135219425,0.028836254090560273
R04,P02_figure8_R04_20260720_101201,True,97.55,357.71,-356.27,2.2900000000000205,3.730000000000018,6.020000000000039,1.44,1.44,0.07981548434607892,0.213997087469715,-0.33623236158814934,1951,7.018566104533758,0.07481281392136023,-0.018302198310257704,0.07253955241000644,1.4423315078398455,0.1031461894945846,0.24157683681277808,-0.5509079163789813,5.607909241974174,5.633473737759363,0.9807851079707256,0.9891244791043553,0.9849547935375405,1.3055612971283286,1.2147874577890632,1.260174377458696,1951,7.025360012231915,2.1443027557875327,-0.45491671246822574,2.0954916113397135,335.265700483089,1.2216171877947049,2.338093743539639,-20.22224882139884,62.5418507226571,65.71466791043166,0.6338619828762323,0.6366802842312121,0.6352711335537222,1.497751843685943,1.9005844587583445,1.6991681512221437,1.08,1.14,0.09,0.075,0.11715374513859982,0.042340931217239586
R05,P02_figure8_R05_20260720_101530,True,98.6,358.13,-356.71,1.8700000000000045,3.2900000000000205,5.160000000000025,1.42,1.42,0.0798174590861661,0.1995747279343324,-0.33798261715372796,1972,6.984605521894047,0.07310023110740442,-0.022349082250547693,0.06960001659851951,1.423527032814832,0.10606213594916239,0.24310080995588512,-0.5388109838755856,5.428897732553072,5.454200414515151,0.9691504055155374,0.9742437791374184,0.9716970923264779,1.3013443667153086,1.224231863616381,1.2627881151658449,1972,6.986795824150904,2.2384688715059387,-1.1374252858114504,1.927953995275253,359.1304347826068,1.1373858498197382,2.288679017593479,-18.598562832891712,64.19043151202592,66.81488291530546,0.5958168200802538,0.6281431952900782,0.611980007685166,1.72321994305963,1.959325841792833,1.8412728924262316,1.07,1.13,0.06,0.115,0.12971121771072847,0.056610986603324046
R06,P02_figure8_R06_20260720_101920,True,96.3,358.53,-357.61999999999995,1.4700000000000273,2.3800000000000523,3.8500000000000796,0.91,0.91,0.07981311441802683,0.2217167893469255,-0.32948512515114853,1926,6.898517060231277,0.06383231536293242,-0.015427780978198783,0.06193987454525224,0.9102636298365838,0.08349767574022737,0.19859058885250325,-0.4591183970428312,4.976771529994118,4.996617317631208,0.9884787002528637,0.9943495456023436,0.9914141229276037,1.2597170330179295,1.1633129400014408,1.2115149865096853,1926,6.900819387520073,2.207429192185654,-0.9455290735068439,1.9946725068709146,353.8164251207711,1.1658421359099553,2.2980000262133076,-20.958789547946974,63.513885241072266,66.86695726810721,0.6086098042539476,0.6279195929957541,0.6182646986248508,1.642647044500731,1.8730095074130613,1.7578282759568962,1.09,1.12,0.1,0.065,0.11926860441876563,0.05543628905583321
R07,P02_figure8_R07_20260720_102355,True,96.3,358.19,-356.9,1.8100000000000023,3.1000000000000227,4.910000000000025,1.29,1.29,0.07981311613848374,0.2210636222264724,-0.3313220848527368,1926,6.9164593187967975,0.06663506161229447,-0.021106160583540406,0.06320412503544437,1.2907458352283057,0.08584249009977982,0.20617543212304779,-0.45753312822756165,5.063746938480222,5.083065635963442,0.9871130693283909,0.9962074407906925,0.9916602550595417,1.270200675572824,1.1655767683573979,1.2178887219651109,1926,6.918849397532022,2.147582152045561,-1.0446573209304861,1.8763795409274167,354.0096618357451,1.1191510724365783,2.244459351135556,-19.622508435422368,63.281934203663496,66.23871074098071,0.6201216008094824,0.6337119344933665,0.6269167676514245,1.6959834063180432,1.8509422533819182,1.7734628298499806,1.08,1.18,0.06,0.02,0.0632455532033676,-0.003389508408926878
R08,P02_figure8_R08_20260720_102910,True,94.55,357.76,-356.31,2.240000000000009,3.6899999999999977,5.930000000000007,1.45,1.45,0.07980961832520322,0.22368953979133913,-0.32500410620370956,1891,6.8537976929653786,0.06144320723769274,-0.01217829608397301,0.06022422120829082,1.4536953361379972,0.07553651359704426,0.1849823802255579,-0.44512927640017014,4.764960613854455,4.784452207842674,0.9924627310756899,0.9928560654810232,0.9926593982783566,1.2446129123937162,1.1468206499524212,1.1957167811730687,1891,6.855410473416073,2.0813930941246475,-0.9281045791485869,1.8630134466592554,354.0096618357472,1.0960637864793483,2.1844384941229587,-18.228073964484285,63.581794898201274,66.1269195459882,0.6130498267161435,0.6189974178466751,0.6160236222814093,1.6002853599201305,1.8282820762393985,1.7142837180797645,1.1,1.17,0.085,0.065,0.10700467279516347,0.04556146555747073
R09,P02_figure8_R09_20260720_103309,True,99.8,357.9,-356.40999999999997,2.1000000000000227,3.590000000000032,5.690000000000055,1.49,1.49,0.07981961996705372,0.18729151323217227,-0.3287673101062238,1996,6.929715152083339,0.06597721499629436,-0.01678676605145615,0.0638059353367767,1.4875063684602066,0.10458426494897953,0.2469446935754791,-0.49831202346716447,5.653306413187221,5.673814969973357,0.9561525335829931,0.9690361583911132,0.9625943459870532,1.3040306733470268,1.1937484993886307,1.2488895863678287,1996,6.934709128561006,2.34547095060379,-2.0112779643787415,1.2066461495114267,403.57487922705064,0.9885861320572035,2.1458233926915624,-17.679873068644945,65.78103540694462,68.0995934114679,0.5659641660796367,0.583109423243373,0.5745367946615049,2.0390265421504097,1.7730429685173514,1.9060347553338806,1.08,1.13,0.11,0.095,0.14534441853748634,0.07936720354119198
R10,P02_figure8_R10_20260720_103642,True,97.2,357.95,-356.36,2.0500000000000114,3.6399999999999864,5.689999999999998,1.59,1.59,0.07981479521102892,0.20816907497408293,-0.32888246156576,1944,6.842984322503594,0.06339718535012898,-0.018498069665027074,0.06063847399948661,1.5951208705399211,0.08293556733164335,0.19661011474812917,-0.4491897658310413,4.895078561905985,4.914391065755075,0.9698423265725826,0.9833034946124487,0.9765729105925156,1.2566629732454324,1.1621429730677941,1.2094029731566134,1944,6.845393801187216,2.369186066661415,-1.842438420416967,1.4894506656596649,387.826086956519,1.0659626665967734,2.258259038375244,-19.360636011313254,67.18427125677502,69.90163557024647,0.5890164520515369,0.5923298999534146,0.5906731760024757,1.9977108252935811,1.7837195330583766,1.8907151791759789,1.11,1.1,0.095,0.09,0.130862523283024,0.06746533793289503
