run,bag,completed,controller_closure_m,controller_final_yaw_deg,controller_motion_duration_s,motion_duration_s,gt_samples,gt_path_length_m,gt_closure_error_m,gt_final_x_m,gt_final_y_m,gt_net_yaw_deg,gt_ccw_rotation_deg,gt_cw_rotation_deg,gt_ccw_x_diameter_m,gt_ccw_y_diameter_m,gt_cw_x_diameter_m,gt_cw_y_diameter_m,gt_ccw_radial_rmse_m,gt_ccw_max_radial_error_m,gt_cw_radial_rmse_m,gt_cw_max_radial_error_m,wheel_samples,wheel_path_length_m,wheel_closure_error_m,wheel_final_x_m,wheel_final_y_m,wheel_net_yaw_deg,wheel_ccw_rotation_deg,wheel_cw_rotation_deg,wheel_ccw_x_diameter_m,wheel_ccw_y_diameter_m,wheel_cw_x_diameter_m,wheel_cw_y_diameter_m,wheel_ccw_radial_rmse_m,wheel_ccw_max_radial_error_m,wheel_cw_radial_rmse_m,wheel_cw_max_radial_error_m,ekf_samples,ekf_path_length_m,ekf_closure_error_m,ekf_final_x_m,ekf_final_y_m,ekf_net_yaw_deg,ekf_ccw_rotation_deg,ekf_cw_rotation_deg,ekf_ccw_x_diameter_m,ekf_ccw_y_diameter_m,ekf_cw_x_diameter_m,ekf_cw_y_diameter_m,ekf_ccw_radial_rmse_m,ekf_ccw_max_radial_error_m,ekf_cw_radial_rmse_m,ekf_cw_max_radial_error_m,wheel_position_rmse_m,wheel_maximum_position_error_m,wheel_yaw_rmse_deg,wheel_maximum_yaw_error_deg,wheel_heading_error_std_deg,ekf_position_rmse_m,ekf_maximum_position_error_m,ekf_yaw_rmse_deg,ekf_maximum_yaw_error_deg,ekf_heading_error_std_deg,wheel_D_rot_deg,wheel_D_trans_final_m,ekf_D_rot_deg,ekf_D_trans_final_m
R01,V17_figure8_ekf_closed_loop_R01_20260721_220113,True,0.0209,1.68,98.25,149.7298617362976,5892,6.384314657909741,0.07457814915256335,-0.07293588756475841,0.015564595599080158,-3.435797709779855,355.5229991570471,-358.95471141503685,1.042736051346957,1.0437865828498922,1.0183772583230597,1.019823039796313,0.020841478104879414,0.025554547585274645,0.07721069909229608,0.1153433992605627,5892,6.431600609111484,0.020121141797776885,-0.014399634281279062,0.014053856403551902,1.5094458932751256,361.20481802664716,-359.6945105774969,1.032807617845457,1.037140267856706,1.0234536852375324,1.0271031481995234,0.01629030167391252,0.019673269218079437,0.01195598882323909,0.017335432889549418,3648,6.43160676959386,0.020123656817429895,-0.014402546972621819,0.014054472754504693,1.57331455685195,361.1910032385349,-359.63439931173065,1.0328084789335936,1.0371461528889347,1.0234555559538214,1.0271050938584159,0.016303013916813942,0.019669145175025604,0.011967536812310173,0.017219922915478414,0.08313466317686835,0.14963014998771235,4.4264810406924,5.869924133150127,1.6533714511690814,0.08327778928119872,0.15072668305656006,4.4845779270023876,6.12876578057214,1.7649320759543619,6.42161803206011,0.05855574507582114,6.347691978181615,0.0585528174546774
R02,V17_figure8_ekf_closed_loop_R02_20260721_220541,True,0.0182,1.33,98.3,152.86972880363464,5896,6.3881388462977355,0.06641017624296176,-0.06373432087336174,0.018661400039456016,-3.973841946662449,355.05389225015153,-359.0201684524465,1.0411885467447732,1.044563236186815,1.0169538612031672,1.0215799272005774,0.020410292739540297,0.025810218672987495,0.07642623218260261,0.11340750332079574,5896,6.434313014111486,0.017542816395196028,-0.010153540329783283,0.014305803921731312,1.2423635719757806,361.008383287111,-359.77118905038617,1.0327605991486093,1.0372333044189892,1.023382364409819,1.0274760138094712,0.01619576065252601,0.020188859838552897,0.012071401997219545,0.01786857274738518,3671,6.433197273482914,0.01819797606779989,-0.011278140996629939,0.014281802009002665,1.3282606862596416,361.01087698263774,-359.68824842478494,1.03275949640022,1.0372354980078828,1.0233844069810092,1.0274539932329048,0.016213758365419193,0.020185082597120152,0.012074707698408843,0.017761248762355575,0.08313247287088786,0.15015104189331713,4.603482636224119,6.079162443317948,1.6871132853819413,0.08358183937605983,0.15132532258177986,4.6649731388557365,6.351999501332263,1.8002768593150207,6.705511634899096,0.0537575228335519,6.625064704824638,0.05263869001189518
R03,V17_figure8_ekf_closed_loop_R03_20260721_220927,True,0.0189,1.28,98.25,135.80208277702332,5893,6.383085561792345,0.07084646921047129,-0.06701846388016344,0.022972759928521505,-5.433336491314686,354.30641349783247,-359.7397418939628,1.0444872825954596,1.04380680461663,1.0142574379354579,1.0193517146633748,0.02178034573601497,0.02766465045589095,0.08558617518427154,0.12538069398415352,5892,6.430660604111485,0.018152456159667322,-0.011386092045487187,0.0141374881984155,1.0631599499430946,360.73096229531063,-359.6652176777421,1.032421919795262,1.0369429889944064,1.0224401558864735,1.0270455419086548,0.016138922077031517,0.01968914212607853,0.011798950419617427,0.01775400197450444,3631,6.43066679996072,0.01815489129120548,-0.011388807451376652,0.014138427869850178,1.157615921810203,360.73633829486175,-359.5866820650457,1.0324230618706454,1.0369454147051305,1.022442726910871,1.027047811225442,0.01609202729953919,0.01968717778960105,0.011799826461430888,0.01766470193935471,0.09462349237689151,0.17189630747674262,5.278032083078222,6.782200721747035,2.0093915827010145,0.09498762351576233,0.1730226811791085,5.336668864245666,7.054583520478028,2.147099313914021,6.499073013698876,0.056329591002389594,6.582984625946381,0.05632676182160419
R04,V17_figure8_ekf_closed_loop_R04_20260721_222236,True,0.0215,1.67,98.25,151.1880431175232,5892,6.386543145810895,0.06607980155231852,-0.06370777674205926,0.017545921343085143,-3.8748491037055977,355.4203734113496,-359.3026173308372,1.0413688367272778,1.0431934075573726,1.0167151148433367,1.0203012530863926,0.020283737922132304,0.02491608600802131,0.07469162151597508,0.11120124133335207,5892,6.432249434111486,0.019964907014401193,-0.01413556644155094,0.01409905221886155,1.450860093763779,361.062661307246,-359.61180121348224,1.0326467935394676,1.0371475833517805,1.024068323777043,1.027445194328282,0.0161618841164165,0.020034680597008636,0.012306074280319195,0.017622898933624453,3653,6.431244999215446,0.02067750913801283,-0.015148702791107803,0.014073954238212047,1.549373365376162,361.06926798679564,-359.53458049446226,1.032648833899584,1.037150311812009,1.0240703580509023,1.0274199292495514,0.016145804601678616,0.020030274394581382,0.012300995677384349,0.017509274517099105,0.08148272942185499,0.14810377369737848,4.543107229071404,5.97417457478212,1.7457139717715642,0.08179962936724715,0.1491933089690131,4.605904592680134,6.288639592573484,1.8737775020273748,5.951471778541418,0.049691900153217616,5.880857739071075,0.048683038304437126
R05,V17_figure8_ekf_closed_loop_R05_20260721_222628,True,0.0189,1.33,98.3,140.47044730186462,5894,6.385787243849746,0.0696934473920556,-0.06646213589646845,0.020975249735547406,-4.422314493893213,354.4788542686932,-358.89666142964353,1.0419938716694839,1.0435993381154698,1.0163099366629265,1.0209360166583696,0.020921261428831137,0.02815584791831205,0.08010059858287047,0.11835523134357029,5895,6.431714549111488,0.018204465720708347,-0.011676515357563677,0.013966444117277129,1.1699928784624336,360.8472723384569,-359.68331035112055,1.0321668332477074,1.036830305039507,1.0230818405576305,1.0273515941258502,0.01602363568130049,0.019520404494730026,0.012064335278830015,0.01746040624363776,3650,6.431744002415066,0.018192756642839113,-0.011657240336573395,0.01396728828373399,1.2156820541124564,360.84769946277584,-359.64384489403494,1.0321673823367552,1.0368333089757773,1.023085276172688,1.0273540779125294,0.016056499245500268,0.019515072415122514,0.012078890721327855,0.01736531076296427,0.08772232720027283,0.1584217482337776,4.876682126892613,6.518085316548024,1.804649810562775,0.0884395872522684,0.1596329222172055,4.946383150767497,6.878328827315792,1.9141919411154418,7.1550669912406875,0.055232124475051304,7.116028658474022,0.05525113664931344
R06,V17_figure8_ekf_closed_loop_R06_20260721_223003,True,0.0208,1.68,98.2,153.32695269584656,5889,6.385243862522828,0.06738601988007531,-0.06428093475737823,0.02021972062110622,-4.631880669192589,354.63044945135437,-359.2527694302102,1.042704751617936,1.0432745028434687,1.0155381042539942,1.0187964137048189,0.020998280303750155,0.0276955267506388,0.07930007321192636,0.11705665372827057,5888,6.4299389841114865,0.019887563735941513,-0.013885744895452795,0.014237319974262802,1.4405214232624663,360.810225435825,-359.36625778906193,1.0327588495382105,1.0373528276008135,1.0232152016403058,1.0272406247654984,0.016218492599596426,0.02007100383899374,0.012042375126178326,0.017863784309768205,3662,6.429893736586026,0.019925095444594837,-0.013940114963864929,0.01423666475233729,1.5359561289434729,360.79600878956364,-359.265882103432,1.0327598098420478,1.037355220723285,1.0232200985672208,1.0272421193383259,0.01623228433216163,0.020013568875225318,0.012009566898651729,0.017768209938333612,0.08744510485560028,0.1581647314963127,4.940819653781071,6.391981375294136,1.7794316862167951,0.08745180293987642,0.15929207460062877,4.990968635015064,6.739798453117752,1.8985147061013383,6.293264343322335,0.050749032293422744,6.178672011431047,0.050695119045247254
R07,V17_figure8_ekf_closed_loop_R07_20260721_223616,True,0.0205,1.53,98.25,163.91336512565613,5892,6.386124945217086,0.07143081876627323,-0.06847382901218267,0.0203395331812346,-4.559104474656774,354.6333265301214,-359.2013588109027,1.0430183661814234,1.04310325927426,1.0167561073625968,1.0197998287560661,0.02128601626516289,0.028488475859644757,0.0816454498373263,0.1211431872975891,5892,6.432167144111485,0.019729800029892622,-0.013753142535304496,0.01414623906284455,1.3974436295048016,361.0885079835013,-359.6867565746207,1.0326679165124624,1.0368015695329997,1.0236803369885874,1.027360108959791,0.016145825373230338,0.01937113812096769,0.01213103320814695,0.016863566703477884,3599,6.4322075796942375,0.019709162565470208,-0.013721826822414884,0.014147881738542615,1.4240664508410148,361.0618552817198,-359.660609523847,1.0326691000919177,1.0368067174351645,1.02368239836567,1.0273632107249357,0.01614617643341971,0.019312755919842384,0.012127252536791639,0.016868015968245165,0.0901120526786313,0.1628197043770376,5.056782799652668,6.614184718728058,1.8651604858520188,0.08959621279124234,0.16393260934166734,5.08981871284915,6.909989566781114,1.9871843885867162,6.940579217097877,0.055070050122890596,6.887779464542632,0.055100982671601476
R08,V17_figure8_ekf_closed_loop_R08_20260721_224038,True,0.0201,1.62,98.2,151.91342043876648,5889,6.3853481366612295,0.07936678145395955,-0.07688684196268539,0.019685007781700722,-3.1813836131975153,355.1945715538164,-358.37582027549735,1.0438335632766982,1.0433620997365505,1.0186562589880408,1.023233053972698,0.021369301370519726,0.026547487490178767,0.07936414829474986,0.11801292661459217,5889,6.431084714111484,0.019271606470779534,-0.013259371999308316,0.013985130322901902,1.3888280707532985,360.9756441638552,-359.58940076072736,1.0328303090751834,1.0373584573560573,1.0229305563328677,1.027154434711564,0.016302867061079005,0.019881301200447066,0.011955632288028938,0.017804927248592284,3590,6.4310501640996085,0.01930179771158885,-0.01330329217361029,0.013985056747924038,1.479278735794639,360.95345807730973,-359.4933554065768,1.0328321533161606,1.0373607321758418,1.0229330244204755,1.0271563101818078,0.01624463683822929,0.019878303768248173,0.01199469904827707,0.017706165111314343,0.08452982598043034,0.15074990695687038,4.371082930747046,5.97631940317913,1.641920926531105,0.08441652468817376,0.15189723066352867,4.411619910361134,6.300465469643144,1.7613585470528441,6.994653095268802,0.06388226308597539,6.876421654572823,0.06383852477593169
R09,V17_figure8_ekf_closed_loop_R09_20260721_224430,True,0.0188,1.45,98.3,152.91760277748108,5894,6.383087223862276,0.07359186754028968,-0.0703939703638417,0.02145814308094058,-4.165521144472387,354.98329687515866,-359.16767893812613,1.0415788153890393,1.042867496106504,1.018307322869793,1.0206920410666183,0.020536079977532724,0.02649293493626448,0.08009829397323073,0.11892451768943746,5895,6.430494441611485,0.01799507171747349,-0.011299784444784092,0.014004909054272,1.1708544343380671,361.0385377427418,-359.88577598178205,1.0321151121947214,1.036277976236923,1.0228185024385685,1.0269436344150014,0.015884855384257178,0.019460321649761747,0.011846348867729846,0.01727447063737053,3651,6.4304486691915015,0.018029565056077154,-0.011354502018794206,0.01400501695880861,1.2924260082981394,361.0427552784014,-359.7563699209559,1.0321170198748675,1.0362775092785523,1.0228208550016848,1.0269444348850398,0.015889585375929653,0.01940975826463276,0.011835861419219778,0.01727721567933116,0.08705168312496563,0.1570603631189068,4.716821804260808,6.326156670210991,1.7666035705902816,0.08719832091356461,0.1581843519295158,4.774555794494588,6.674705389856918,1.8877690752235563,6.773337911239082,0.05956234974287396,6.648149386072475,0.05950804913167858
R10,V17_figure8_ekf_closed_loop_R10_20260721_224853,True,0.0199,1.53,98.25,144.20601534843445,5892,6.385174839761381,0.06878419565131144,-0.06561732631312281,0.020630852113159383,-3.992176703868408,355.48478332470324,-359.477107225515,1.0415548202639144,1.0415477625055194,1.0179247787651537,1.019322992936819,0.020275217618798125,0.02611838209344819,0.07571678645618252,0.1132447556848718,5893,6.4320706116114845,0.019117359096816174,-0.013024449069048767,0.013994182551488129,1.3517811681210763,361.1531246741378,-359.80306661776706,1.0327334894229065,1.0368628515989222,1.0233220739770563,1.0271403424255354,0.01615801939912383,0.019758553692611813,0.011996310410787655,0.0173735664515407,3596,6.430959401165835,0.019880240223057198,-0.014144355568685665,0.01397000919373542,1.5305931912321076,361.1632865816361,-359.6500506659743,1.0327355319310076,1.0368637492741062,1.0233254801560325,1.0271170912883154,0.01616380824119206,0.019754419335566098,0.012006403299282925,0.017134003582880142,0.08282531207591096,0.1495251002927178,4.578678937903738,5.898176227213144,1.67593163663459,0.08259443724058382,0.1506716167304429,4.615618333083385,6.132828194065869,1.7987841409248915,5.994300741686629,0.05300996245689158,5.851446697392134,0.05190215357434528
