run,bag_directory,bag_duration_s,movement_duration_s,ekf_path_length_m,ekf_start_to_end_displacement_m,mean_abs_cmd_linear_mps,max_abs_cmd_linear_mps,mean_abs_cmd_angular_radps,max_abs_cmd_angular_radps,minimum_observed_lidar_range_m,minimum_front_sector_range_m,scans_at_or_below_proximity_threshold,scan_message_count,amcl_message_count,final_amcl_x_map_m,final_amcl_y_map_m,final_amcl_yaw_rad,final_position_error_to_goal_m,final_abs_yaw_error_rad,final_amcl_age_at_bag_end_s,goal_reached_inferred_0_1
R06,P_stage3_C1_cylinder_dynamic_12cm_R06_20260725_000420,62.225446145,22.900560684,1.9627542015544055,1.7349949888824157,0.08372893016855869,0.10000000000000003,0.16349386538241026,0.35000000000000003,0.26475000381469727,0.2759999930858612,0,439,16,1.0562882820418005,0.09911651373789383,-0.05540770532197686,0.20424530996086326,0.05540770532197686,16.602865569,1
R07,P_stage3_C1_cylinder_dynamic_12cm_R07_20260725_000716,56.87462863,21.549683845,1.9421479590104218,1.7878120460763365,0.08695175438596493,0.10000000000000003,0.1604751461988304,0.35000000000000003,0.27125000953674316,0.3930000066757202,0,408,13,1.0660843144148142,0.09723138551148545,-0.14210869420685848,0.1957315342940937,0.14210869420685848,18.332385878,1
R08,P_stage3_C1_cylinder_dynamic_12cm_R08_20260725_001000,56.733743984,21.800194064,1.9357956174370892,1.793627202136352,0.0876430205949657,0.10000000000000003,0.13632060700951465,0.35000000000000003,0.3032500147819519,0.41600000858306885,0,406,13,1.0964413282824546,-0.20326127929888146,0.17521839322284583,0.20133222008019733,0.17521839322284583,13.357546005,1
R09,P_stage3_C1_cylinder_dynamic_12cm_R09_20260725_001334,50.439926349,22.150765004,1.9589390924009473,1.8135465814249458,0.08657478911726271,0.10000000000000003,0.15969228941428065,0.35000000000000003,0.28174999356269836,0.46299999952316284,0,356,14,1.112088197043403,-0.21925865132777989,0.02692491666732142,0.2069989765151128,0.02692491666732142,11.949778109,1
R10,P_stage3_C1_cylinder_dynamic_12cm_R10_20260725_001613,56.732799505,23.250712848,2.020241963646283,1.7562900704899642,0.0833182742263384,0.10000000000000003,0.22691213011068445,0.35000000000000003,0.2982499897480011,0.3930000066757202,0,407,18,1.1019061163859645,-0.23778787246438324,0.1994659741171798,0.22813943951011648,0.19946597411717984,19.495436739,1
R11,P_stage3_C1_cylinder_dynamic_12cm_R11_20260725_002230,64.033443434,21.350731237,1.8848386948848743,1.766369866799451,0.08789596943177619,0.10000000000000003,0.13925674842844815,0.35000000000000003,0.29649999737739563,0.41975000500679016,0,440,13,1.0857956375041828,-0.2276168233786739,0.1144676193429371,0.22752546968093676,0.1144676193429371,20.430028385,1
R12,P_stage3_C1_cylinder_dynamic_12cm_R12_20260725_002631,58.336100173,24.150886943,2.058562108141108,1.7746638973669187,0.07678338408003482,0.10000000000000003,0.2388397129186603,0.35000000000000003,0.2627499997615814,0.3709999918937683,0,419,22,1.0917627084298054,0.14603596207630828,-0.16265786058258555,0.21691224089879546,0.16265786058258555,18.773801721,1
R13,P_stage3_C1_cylinder_dynamic_12cm_R13_20260725_003020,62.449873838,22.150870695,1.9132029923527831,1.7664539965449437,0.08660502607871032,0.10000000000000003,0.14003200568990043,0.35000000000000003,0.2919999957084656,0.3935000002384186,0,448,12,1.0652233029991691,-0.19763235407605045,0.1400702477710272,0.2160934426140086,0.1400702477710272,20.822427771,1
R14,P_stage3_C1_cylinder_dynamic_12cm_R14_20260725_003301,56.377669368,22.80056621,1.9708496243629277,1.754415683192169,0.08148105493493035,0.10000000000000003,0.22264194402856158,0.35000000000000003,0.2619999945163727,0.38624998927116394,0,399,17,1.0908133019684563,-0.21439359746259956,0.14674627766308412,0.21371350839121883,0.14674627766308415,18.256613213,1
R15,P_stage3_C1_cylinder_dynamic_12cm_R15_20260725_003538,58.273413842,21.949179958,1.9143150243680447,1.7480483281312622,0.08722488038277515,0.10000000000000003,0.15323444976076556,0.35000000000000003,0.2827500104904175,0.3867500126361847,0,417,14,1.0913043000044729,-0.19793293391757252,0.20231625908476036,0.19992177389532909,0.20231625908476036,20.172182964,1
