metric,unit,mean,sample_sd,median,minimum,maximum,source
Navigation time,s,18.063,14.823,13.317,12.200,60.150,Full-precision verified analysis report
Recoveries,count,1.200,1.687,0.500,0.000,5.000,Verified analysis report
Dynamic trigger displacement,m,0.1217,0.0012,0.121,0.1201,0.1232,Per-run acquisition records and verified report
Ground-truth path length,m,1.888,0.039,1.877,1.858,1.994,Full-precision verified analysis report
Ground-truth final position error,m,0.212,0.030,0.208,0.180,0.291,Full-precision verified analysis report
Ground-truth final yaw error,deg,22.394,1.846,22.806,18.367,24.064,Full-precision verified analysis report
Nav2 feedback final position error,m,0.239,0.007,0.239,0.221,0.249,Full-precision verified analysis report
Physical surface clearance,m,0.074,0.016,0.081,0.043,0.089,Full-precision verified analysis report
Configured-footprint clearance,m,0.049,0.016,0.056,0.018,0.064,Full-precision verified analysis report
Obstacle-negotiation time,s,13.698,14.909,8.767,8.067,56.050,Full-precision verified analysis report
Angular reversals near obstacle,count,6.500,4.089,6.000,1.000,14.000,Full-precision verified analysis report
Global-plan side switches,count,2.900,7.810,0.000,0.000,25.000,Verified analysis report

